"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"13","Altro","0","01-01-1900","31-12-9999"
"1","Morte accertata","0","01-01-1900","31-12-9999"
"2","Morte presunta giudizialmente dichiarata","0","01-01-1900","31-12-9999"
"3","Trasferimento di residenza in comune non subentrato","0","01-01-1900","31-12-9999"
"4","Trasferimento di domicilio (senza fissa dimora)","0","01-01-1900","31-12-9999"
"5","Trasferimento di residenza all’estero di uno straniero","0","01-01-1900","31-12-9999"
"6","Irreperibilita","0","01-01-1900","31-12-9999"
"7","Mancato rinnovo dimora abituale/permesso di soggiorno","0","01-01-1900","31-12-9999"
"8","OBSOLETO - Trasferimento di residenza (iscrizione AIRE)","0","01-01-1900","31-12-9999"
"9","Rettifiche post censuarie","0","01-01-1900","31-12-9999"
"10","Doppia iscrizione","0","01-01-1900","31-12-9999"
"11","Perdita della cittadinanza italiana","0","01-01-1900","31-12-9999"
"12","Ripristino posizione precedente","0","01-01-1900","31-12-9999"
"99","Anomalia","0","",""
