"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"1","scheda individuale completa","0","01-01-1900","31-12-9999"
"2","generalità","0","01-01-1900","31-12-9999"
"3","statoCivile","0","01-01-1900","31-12-9999"
"4","attributiSoggetto","0","01-01-1900","31-12-9999"
"5","attoNascita","0","01-01-1900","31-12-9999"
"6","cittadinanza","0","01-01-1900","31-12-9999"
"7","altraCittadinanza","0","01-01-1900","31-12-9999"
"8","paternità","0","01-01-1900","31-12-9999"
"9","maternità","0","01-01-1900","31-12-9999"
"10","residenza","0","01-01-1900","31-12-9999"
"11","datiTranslitterati","0","01-01-1900","31-12-9999"
"12","tutoreIntestatario","0","01-01-1900","31-12-9999"
"13","matrimonio","0","01-01-1900","31-12-9999"
"14","vedovanza","0","01-01-1900","31-12-9999"
"15","annullamentoMatrimonio","0","01-01-1900","31-12-9999"
"16","cartaIdentità","0","01-01-1900","31-12-9999"
"17","permessoSoggiorno","0","01-01-1900","31-12-9999"
"18","listaElettorale","0","01-01-1900","31-12-9999"
"19","listaDiLeva","0","01-01-1900","31-12-9999"
"20","censimento","0","01-01-1900","31-12-9999"
"21","legameSoggetto","0","01-01-1900","31-12-9999"
"22","famigliaConvivenza","0","01-01-1900","31-12-9999"
"23","altriDati","0","01-01-1900","31-12-9999"
"24","autoveicoli","0","01-01-1900","31-12-9999"
"25","domicilioDigitale","0","01-01-1900","31-12-9999"
"26","datiIscrizione","0","01-01-1900","31-12-9999"
"27","datiCancellazione","0","01-01-1900","31-12-9999"
"28","datiDecesso","0","01-01-1900","31-12-9999"
"29","provenienza","0","01-01-1900","31-12-9999"
"30","destinazione","0","01-01-1900","31-12-9999"
"31","erroriAnomalie","0","01-01-1900","31-12-9999"
"32","unione civile","0","01-01-1900","31-12-9999"
"33","scioglimento unione","0","01-01-1900","31-12-9999"
"34","convivenza di fatto","0","01-01-1900","31-12-9999"
"35","risoluzione convivenza","0","01-01-1900","31-12-9999"
