"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"181","Totale cancellati","0","01-01-1900","31-12-9999"
"191","Differenza tra iscritti e cancellati (saldo migratorio e per altri motivi)","0","01-01-1900","31-12-9999"
"201","Incremento o decremento (saldo naturale e saldo migratorio e per altri motivi)","0","01-01-1900","31-12-9999"
"211","Unità da aggiungere o da sottrarre a seguito di variazioni territoriali","0","01-01-1900","31-12-9999"
"221","Popolazione residente alla fine del mese: popolazione residente in famiglia","0","01-01-1900","31-12-9999"
"231","Popolazione residente alla fine del mese: popolazione residente in convivenza ","0","01-01-1900","31-12-9999"
"241","Totale popolazione residente alla fine del mese ","0","01-01-1900","31-12-9999"
"251","Numero posizioni migratorie definite nel mese","0","01-01-1900","31-12-9999"
"261","Posizioni migratorie mensili:  numero totale di persone interessate","0","01-01-1900","31-12-9999"
"271","Numero famiglie anagrafiche","0","01-01-1900","31-12-9999"
"281","Numero convivenze","0","01-01-1900","31-12-9999"
"12","Popolazione residente al 1 gennaio","0","01-01-1900","31-12-9999"
"22","Nati vivi nel comune","0","01-01-1900","31-12-9999"
"32","Nati vivi altro comune","0","01-01-1900","31-12-9999"
"42","Nati vivi estero","0","01-01-1900","31-12-9999"
"52","Totale nati vivi","0","01-01-1900","31-12-9999"
"62","Deceduti nel comune","0","01-01-1900","31-12-9999"
"72","Deceduti altro comune","0","01-01-1900","31-12-9999"
"82","Deceduti  all'estero","0","01-01-1900","31-12-9999"
"92","Totale deceduti","0","01-01-1900","31-12-9999"
"102","Saldo naturale (Totale nati vivi – Totale deceduti)","0","01-01-1900","31-12-9999"
"112","Iscritti per trasferimento da altri comuni italiani","0","01-01-1900","31-12-9999"
"122","Iscritti per trasferimento dall’estero","0","01-01-1900","31-12-9999"
"132","Iscritti per altri motivi: rettifiche post censuarie","0","01-01-1900","31-12-9999"
"142","Iscritti per altri motivi: ripristino di persone già cancellate","0","01-01-1900","31-12-9999"
"152","Iscritti per altri motivi:  ricomparsa e altro motivo non altrove classificabile","0","01-01-1900","31-12-9999"
"162","Totale iscritti per altri motivi","0","01-01-1900","31-12-9999"
"172","Totale iscritti","0","01-01-1900","31-12-9999"
"182","Cancellati per trasferimento in altri comuni italiani","0","01-01-1900","31-12-9999"
"192","Cancellati per trasferimento all’estero","0","01-01-1900","31-12-9999"
"202","Cancellati per  altri motivi: rettifiche post censuarie","0","01-01-1900","31-12-9999"
"212","Cancellati per altri motivi:  irreperibilità ordinaria","0","01-01-1900","31-12-9999"
"222","Cancellati per altri motivi: violazione art.7 D.P.R.  223/89 (rinnovo dic. dimora abituale) ","0","01-01-1900","31-12-9999"
"232","Cancellati per altri motivi non altrove classificabili","0","01-01-1900","31-12-9999"
"242","Totale cancellati per altri motivi","0","01-01-1900","31-12-9999"
"252","Totale cancellati per acquisizione/concessione o riconoscimento cittadinanza italiana","0","01-01-1900","31-12-9999"
"262","Totale cancellati","0","01-01-1900","31-12-9999"
"272","Saldo migratorio e per altri motivi","0","01-01-1900","31-12-9999"
"282","Saldo totale (saldo naturale + saldo migratorio e per altri motivi)","0","01-01-1900","31-12-9999"
"292","Unità da aggiungere o da sottrarre a seguito di variazioni territoriali","0","01-01-1900","31-12-9999"
"302","Popolazione residente al 31.12","0","01-01-1900","31-12-9999"
"312","Popolazione residente alla fine dell'anno: popolazione residente in famiglia ","0","01-01-1900","31-12-9999"
"322","Popolazione residente alla fine  dell'anno: popolazione residente in convivenza","0","01-01-1900","31-12-9999"
"332","Totale popolazione","0","01-01-1900","31-12-9999"
"342","Stranieri minorenni","0","01-01-1900","31-12-9999"
"352","Stranieri nati in Italia ","0","01-01-1900","31-12-9999"
"362","Numero di famiglie in totale","0","01-01-1900","31-12-9999"
"372","Numero di famiglie con almeno un componente straniero","0","01-01-1900","31-12-9999"
"382","Numero di famiglie con intestatario straniero","0","01-01-1900","31-12-9999"
"392","Numero di convivenze anagrafiche ","0","01-01-1900","31-12-9999"
"402","Senza fissa dimora ","0","01-01-1900","31-12-9999"
"13","Totale cittadini per codice cittadinanza","0","01-01-1900","31-12-9999"
"23","Totale complessivo","0","01-01-1900","31-12-9999"
"14","Residenti  al 31 dicembre ","0","01-01-1900","31-12-9999"
