"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"11","1010 - Iscrizione convivenza","0","01-01-1900","31-12-9999"
"1","1001 - Iscrizione per nascita","0","01-01-1900","31-12-9999"
"2","1002 - Iscrizione per altri motivi","0","01-01-1900","31-12-9999"
"3","2001 - Cancellazione per decesso","0","01-01-1900","31-12-9999"
"4","2003 - Cancellazione per altri motivi","0","01-01-1900","31-12-9999"
"5","5001 - Mutazione famiglia/convivenza","0","01-01-1900","31-12-9999"
"6","5005 - Mutazione residenza","0","01-01-1900","31-12-9999"
"7","5008 - Mutazione dati generali/stato civile (anche  AIRE)","0","01-01-1900","31-12-9999"
"9","A002 - Iscrizione per altri motivi (AIRE)","0","01-01-1900","31-12-9999"
"10","A006 - Mutazione dati AIRE","0","01-01-1900","31-12-9999"
"12","Altro","0","01-01-1900","31-12-9999"
"8","A001 - Iscrizione per nascita (AIRE)","0","01-01-1900","31-12-9999"
