"Tabella","AIRE attuale codice","AIRE attuale descrizione","Codice corrispondente ANPR","Descrizione codice ANPR"
"Posizione nella professione","2","Dirigente o impiegato","A (*)","Dirigente o impiegato"
"Posizione nella professione","3","Lavoratore in proprio","5","Lavoratore in proprio"
"Posizione nella professione","4","Coadiuvante familiare","6","Coadiuvante familiare/socio coop."
"Titolo di studio","0","Nessun titolo di studio","7","Nessun titolo"
"Titolo di studio","1","Licenza elementare","2","Licenza elementare"
"Titolo di studio","2","Licenza media inferiore","3","Licenza media"
"Titolo di studio","3","Diploma di scuola media superiore","7","Diploma scuola superiore"
"Titolo di studio","4","Diploma di laurea","5","Laura"
"Condizione non professionale","1","Attualmente disoccupato","3","Disoccupato/in cerca di prima occupazione"
"Condizione non professionale","0","Attualmente occupato o condizione non professionale","5","Altra condizione non professionale"
"Posizione nella professione","0","Cond. Non professionale o attualmente disoccupato","0","Non applicabile (es: condizione non professionale)"
"Posizione nella professione","5","Lavoratore dipendente","B (*)","Lavoratore dipendente"
