"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"22","Dati decesso","22","",""
"16","Convivenza di fatto","3","",""
"17","Risoluzione convivenza di fatto","7","",""
"18","Unione civile","14","",""
"19","Scioglimento unione civile","17","",""
"21","Dati integrativi AIRE","21","",""
"1","Dati anagrafici / Codice fiscale","1","",""
"2","Cittadinanza","9","",""
"3","Carta identità","11","",""
"4","Permesso di soggiorno","15","",""
"5","Liste","18","",""
"6","Censimento","4","",""
"7","Altri dati","12","",""
"8","Autoveicoli","8","",""
"9","Domicilio digitale","9","01-01-2017","24-01-2017"
"10","Paternità","13","",""
"11","Maternità","16","",""
"12","Matrimonio","2","",""
"13","Vedovanza","6","",""
"14","Cessazione matrimonio","10","",""
"15","Atto nascita","5","",""
"20","Completamento","20","",""
