"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"12","USO REFERENDARIO","0","01-01-1900","31-12-9999"
"13","USO DI INIZIATIVA LEGISLATIVA POPOLARE","0","01-01-1900","31-12-9999"
"1","ONLUS - art. 27 bis, tabella allegato B)  DPR 642/1972","0","01-01-1900","31-12-9999"
"2","SOCIETA' SPORTIVE - art. 8 bis, tabella allegato B)  DPR 642/1972","0","01-01-1900","31-12-9999"
"3","PROCESSUALE (certificati da produrre nel procedimento) - art. 18 DPR 30.5.2002, n. 115 e Circ. Agenzia delle entrate, 14.8.2002, n. 70/E","0","01-01-1900","31-12-9999"
"4","C.T.U. nominato dal Tribunale o dal Pubblico ministero - CURATORE FALLIMENTARE - art. 16, tabella allegato B) DPR 642/1972","0","01-01-1900","31-12-9999"
"5","INTERDIZIONE, INABILITAZIONE, AMMINISTRAZIONE DI SOSTEGNO (certificati da produrre nel procedimento) - art. 13, tabella allegato B) DPR 642/72 e Circ. MIN. GIUST. prot. M-DG. DAG del 5 febbraio 2007.14803.U","0","01-01-1900","31-12-9999"
"6","ADOZIONE, AFFIDAMENTO, TUTELA MINORI - art. 13, tabella allegato B)  DPR 642/1972 e art. 82 L. 184/1983","0","01-01-1900","31-12-9999"
"7","SEPARAZIONE/DIVORZIO ai sensi dell'art. 19 della legge 74/1987","0","01-01-1900","31-12-9999"
"8","VARIAZIONE TOPONOMASTICA STRADALE E NUMERAZIONE CIVICA ai sensi dell'art. 16 co. 8, della L. 537/1993","0","01-01-1900","31-12-9999"
"9","PENSIONE ESTERA - art. 9, tabella allegato B)  DPR 642/1972","0","01-01-1900","31-12-9999"
"10","SCAMBIO DI ATTI E DOCUMENTI FRA PP.AA. - art. 16, tabella allegato B) DPR 642/1972","0","01-01-1900","31-12-9999"
"99","ALTRO MOTIVO DI ESENZIONE","0","01-01-1900","31-12-9999"
"11","USO ELETTORALE","0","01-01-1900","31-12-9999"
