"CODISTAT","CODCATASTALE","DENOMINAZIONE_IT","IDPROVINCIA","IDREGIONE","IDPREFETTURA","DATASUBENTRO"
"030136","M200","ZUGLIO","30","06","UD","06-09-2019"
"006190","M123","VOLTAGGIO","6","01","AL","31-12-2018"
"006188","M120","VOLPEDO","6","01","AL","11-12-2018"
"004239","L771","VERNANTE","4","01","CN","12-12-2018"
"040050","L764","VERGHERETO","40","08","FC","09-07-2018"
"008065","L741","VENTIMIGLIA","8","07","IM","31-01-2018"
"097093","M395","VALVARRONE","97","03","LC","15-11-2018"
"096088","M417","VALDILANA","96","01","BI","14-01-2019"
"001318","M415","VALCHIUSA","1","01","TO","14-01-2019"
"001317","M405","VAL DI CHY","1","01","TO","14-01-2019"
"001284","L555","VAL DELLA TORRE","1","01","TO","12-12-2018"
"030191","M399","TREPPO LIGOSULLO","30","06","UD","15-11-2018"
"040049","L361","TREDOZIO","40","08","FC","07-06-2018"
"016215","L257","TORRE DE' BUSI","16","03","BG","15-11-2018"
"001272","L219","TORINO","1","01","TO","31-01-2018"
"022176","I839","SORAGA DI FASSA","22","04","TN","01-01-2018"
"005107","I781","SOGLIO","5","01","AT","10-12-2018"
"040046","I779","SOGLIANO AL RUBICONE","40","08","FC","14-09-2018"
"003139","I767","SIZZANO","3","01","NO","01-03-2018"
"006162","I738","SILVANO D'ORBA","6","01","AL","12-12-2018"
"005105","I678","SESSAME","5","01","AT","10-11-2018"
"004219","I659","SERRAVALLE LANGHE","4","01","CN","31-01-2018"
"009056","I480","SAVONA","9","07","SV","31-01-2018"
"040045","I472","SAVIGNANO SUL RUBICONE","40","08","FC","22-05-2018"
"040044","I444","SARSINA","40","08","FC","26-11-2018"
"030189","I421","SAPPADA","30","06","UD","15-11-2018"
"040043","I310","SANTA SOFIA","40","08","FC","27-08-2018"
"021085","I173","SANTA CRISTINA VALGARDENA","21","04","BZ","16-12-2019"
"084039","I290","SANT'ANGELO MUXARO","84","19","AG","01-12-2018"
"040041","I027","SAN MAURO PASCOLI","40","08","FC","02-04-2019"
