"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"13","IN ATTESA DI CONVALIDA","0","23-09-2020","31-12-9999"
"11","IRRICEVIBILE","0","23-09-2020","31-12-9999"
"1","BOZZA","0","23-09-2020","31-12-9999"
"2","APERTA","0","23-09-2020","31-12-9999"
"3","IN LAVORAZIONE","0","23-09-2020","31-12-9999"
"4","RESPINTA","0","23-09-2020","31-12-9999"
"5","EVASA","0","23-09-2020","31-12-9999"
"6","SOSPESA","0","23-09-2020","31-12-9999"
"7","INTEGRATA","0","23-09-2020","31-12-9999"
"99","ALTRO","0","23-09-2020","31-12-9999"
"9","IN VERIFICA","0","23-09-2020","31-12-9999"
"10","IN VERIFICA","0","23-09-2020","31-12-9999"
"12","ACCOLTA","0","23-09-2020","31-12-9999"
