"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"26","Tutore","0","01-01-1900","31-12-9999"
"80","Adottato","0","01-01-1900","15-09-2015"
"81","Nipote","0","01-01-1900","31-12-9999"
"28","Unito civilmente","0","01-01-1900","31-12-9999"
"1","Intestatario Scheda","0","01-01-1900","31-12-9999"
"2","Marito / Moglie","0","01-01-1900","31-12-9999"
"3","Figlio / Figlia","0","01-01-1900","31-12-9999"
"4","Nipote (discendente)","0","01-01-1900","31-12-9999"
"5","Pronipote (discendente)","0","01-01-1900","31-12-9999"
"6","Padre / Madre","0","01-01-1900","31-12-9999"
"7","Nonno / Nonna","0","01-01-1900","31-12-9999"
"8","Bisnonno / Bisnonna","0","01-01-1900","31-12-9999"
"9","Fratello / Sorella","0","01-01-1900","31-12-9999"
"10","Nipote (collaterale)","0","01-01-1900","31-12-9999"
"11","Zio / Zia (Collaterale)","0","01-01-1900","31-12-9999"
"12","Cugino / Cugina","0","01-01-1900","31-12-9999"
"13","Altro Parente","0","01-01-1900","31-12-9999"
"16","Genero / Nuora","0","01-01-1900","31-12-9999"
"17","Suocero / Suocera","0","01-01-1900","31-12-9999"
"18","Cognato / Cognata","0","01-01-1900","31-12-9999"
"20","Nipote (Affine)","0","01-01-1900","31-12-9999"
"21","Zio / Zia (Affine)","0","01-01-1900","31-12-9999"
"22","Altro Affine","0","01-01-1900","31-12-9999"
"23","Convivente (con vincoli di adozione o affettivi)","0","01-01-1900","31-12-9999"
"24","Responsabile della convivenza non affettiva","0","01-01-1900","31-12-9999"
"25","Convivente in convivenza non affettiva","0","01-01-1900","31-12-9999"
"99","Non definito/comunicato","0","01-01-1900","31-12-9999"
"14","Figliastro / Figliastra","0","01-01-1900","15-09-2015"
"15","Patrigno / Matrigna","0","01-01-1900","15-09-2015"
"19","Fratellastro / Sorellastra","0","01-01-1900","15-09-2015"
