"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"10","Ripristino posizione precedente","0","01-01-1900","31-12-9999"
"9","Altri motivi  (descrizione da fornire a cura del comune)","0","01-01-1900","31-12-9999"
"8","Trasferimento di domicilio di un senza fissa dimora (da comune non subentrato o nato da genitori senza fissa dimora)","0","01-01-1900","31-12-9999"
"7","Rettifiche post censuarie","0","01-01-1900","31-12-9999"
"6","Rimpatrio (da AIRE)","0","01-01-1900","31-12-9999"
"5","Ricomparsa (da irreperibilità)","0","01-01-1900","31-12-9999"
"4","Immigrazione dall’estero","0","01-01-1900","31-12-9999"
"3","Immigrazione (da comune non subentrato)","0","01-01-1900","31-12-9999"
"2","Esistenza (giudizialmente riconosciuta) ","0","01-01-1900","31-12-9999"
"1","Nascita ","0","01-01-1900","31-12-9999"
"99","anomalia","0","01-01-1900","31-12-9999"
