"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"7","Senza permesso","0","01-01-1900","31-12-9999"
"1","Permesso","0","01-01-1900","31-12-9999"
"2","Carta di soggiorno / Permesso di soggiorno CE","0","01-01-1900","31-12-9999"
"3","Attestazione a carattere permanente","0","01-01-1900","31-12-9999"
"4","Attestazione di regolarità","0","01-01-1900","31-12-9999"
"5","Ricevuta","0","01-01-1900","31-12-9999"
"6","Rinnovo in corso","0","01-01-1900","31-12-9999"
"9","Non conosciuto/non fornito","0","01-01-1900","31-12-9999"
"99","anomalia","0","01-01-1900","31-12-9999"
"8","Altro titolo di soggiorno","0","01-01-1900","31-12-9999"
