"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"9","Non conosciuta/non fornita","0","01-01-1900","31-12-9999"
"7","Collaborazione coord-continuativa /Prestazione opera occasionale","0","01-01-1900","31-12-9999"
"6","Coadiuvante familiare/socio coop.","0","01-01-1900","31-12-9999"
"5","Lavoratore in proprio","0","01-01-1900","31-12-9999"
"4","Imprenditore, libero professionista","0","01-01-1900","31-12-9999"
"3","Operaio o assimilato","0","01-01-1900","31-12-9999"
"2","Quadro/impiegato","0","01-01-1900","31-12-9999"
"1","Dirigente","0","01-01-1900","31-12-9999"
"0","Non  applicabile (es: condizione non professionale)","0","01-01-1900","31-12-9999"
"99","anomalia","0","01-01-1900","31-12-9999"
"A","Dirigente o impiegato","0","01-01-1900","31-01-2016"
"B","Lavoratore dipendente","0","01-01-1900","31-01-2016"
